570. Smiqra - Rgyagdzie! | RYM 3.49/827 | Avant-Garde Metal
571. DJ小女孩 - Head 7 | RYM 3.47/306 | Electro House
572. jackapplepeople - people | RYM 3.38/240 | Contemporary Folk
573. 落日飞车 - Quit Quietly | RYM 3.37/178 | Soft Rock
574. FiFi Zhang - Fleeting Hearts | RYM 3.44/137 | Dance-Pop
575. v是兔子 - 疼痛部 | RYM 3.42/124 | Slacker Rock
576. 陈娴静 - 如果每天都可以 Happy Happy 谁想要Sad:)) – 一起去度假 | RYM 3.56/104 | Bedroom Pop
577. 郑宜农 - Moon Phases | RYM 3.46/96 | Art Pop
578. Cicada - 凝视白色的边界 | RYM 3.54/73 | Chamber Music
579. Yikii - A Fish Under the Pillow | RYM 3.49/80 | Microtonal Classical
580. R!R!Riot - LVL R | RYM 3.47/94 | Trap
581. 蔡依林 - Pleasure | RYM 3.02/129 | Contemporary R&B
582. An Empty City - A Lucid Dream Last Night | RYM 3.41/72 | Metalcore
583. 夏之禹 - 人人都爱嘻哈乐 | RYM 3.71/69 | Boom Bap
584. 卡力老虎 - 幽默与笑话 | RYM 3.62/76 | Comedy Rap
585. Miso Extra - Earcandy | RYM 3.08/86 | Alternative R&B
586. Thisquietarmy - Serpents and Shallows | RYM 3.46/59 | Drone
587. VOOID - Vooid 2025 | RYM 3.59/61 | Indie Rock
588. 颜峻 - Old Tales Retold | RYM 3.61/40 | Free Improvisation
589. 有益社会 - The Beneficial Society | RYM 3.55/58 | Midwest Emo
590. Yufu - Heal Me Good | RYM 3.49/50 | Progressive Soul
591. 时过夏末 - 未完 | RYM 3.46/47 | Post-Rock
592. 赵小六 - 赵小六的舌头 | RYM 3.45/64 | Hanmai
593. 九宝 - 究极之境 | RYM 3.28/58 | Folk Metal
