[00:38.70] 我要当一个科学家
[00:48.84] 仆人和借口伴我生长
[00:58.20] 夏天藏在西伯利亚
[01:08.07] 冬天住在苏门答腊的岛上
[01:18.16] 不在乎蚂蚁也不在乎国家
[01:27.17] 不在乎佛祖也不在乎手枪
[01:36.87] 把哲学家的拐杖插进这无能的土壤
[01:47.23] 不在乎它开的花
[01:55.30] 给答案的慌张和问题的荒唐添一笔浓妆
[02:06.43] 嫁祸给诗人的语法
[02:14.55] 
[02:53.60] 让我在穷途末路上来而复往
[03:03.42] 再给我心如死灰的裘马轻狂
[03:12.83] 反正活着的人也没人知道为什么活着
[03:22.84] 管什么行船的技巧
[03:32.24] 也许有天文艺复兴我上了想象的当
[03:42.31] 一拍大腿就知道了
[03:50.76] 知道了
[03:55.68] 知道了
[04:00.26] 知道了
[04:04.39] 知道
[04:10.07] 知道了
[04:14.75] 知道了
[04:19.58] 知道了
[04:23.84] 知道
[04:29.22] 知道了
[04:31.92] 不知道
[04:34.08] 知道了
[04:36.77] 不知道
[04:38.84] 知道了
[04:41.66] 不知道
[04:42.95] 知道
[04:48.14] 知道了
[04:51.10] 不知道
[04:53.26] 知道了
[04:55.91] 不知道
[04:58.17] 知道了
[05:00.83] 不知道
[05:02.38] 知道
[05:07.41] 
