
=== Batch 0 ===
🔍 找到 50 张需要封面的专辑（offset=0, count=50）

[01] 飞出迷楼 - 苏紫旭&The Paramecia ... ❌ 所有源均未找到
[02] In the Court of crimson king - King Crimson ... ✅ (itunes, 120030B)
[03] 最美妙的旅行 - 声音玩具 ... ✅ (deezer, 53741B)
[04] 爱人同志 - 罗大佑 ... ✅ (netease, 458995B)
[05] 两伊战争 - 张雨生 ... ✅ (netease, 524150B)
[06] 救姻缘 - 黄安 ... ✅ (netease, 34131B)
[07] 雁渡寒潭 - 黄舒骏 ... ✅ (netease, 501034B)
[08] Javelin - Sufjan Stevens ... ✅ (deezer, 107392B)
[09] Master of Reality - Black Sabbath ... ✅ (itunes, 151424B)
[10] Nervous Young Man - Car Seat Headrest ... ✅ (itunes, 26044B)
[11] Monomania - Car Seat Headrest ... ✅ (deezer, 56867B)
[12] Meat Is Murder - The Smiths ... ✅ (itunes, 131595B)
[13] 枯萎颂 - 王忆灵 ... ✅ (itunes, 117122B)
[14] You Can Listen, You Can Talk - Carsick Cars ... ✅ (itunes, 135305B)
[15] ★ [Blackstar] - David Bowie ... ✅ (deezer, 15183B)
[16] 迷藏 - 梁博 ... ✅ (deezer, 23222B)
[17] Two Hands - Big Thief ... ✅ (itunes, 156071B)
[18] A-Sides - Adrianne Lenker & Buck Meek ... ✅ (itunes, 170452B)
[19] B-Sides - Adrianne Lenker & Buck Meek ... ✅ (itunes, 170452B)
[20] Presence - Led Zeppelin ... ✅ (itunes, 188100B)
[21] Have a Nice Day - 魏如萱 ... ✅ (deezer, 52649B)
[22] 幽浮林涧之雾 - Dark Fount ... ✅ (netease, 27561B)
[23] 甜蜜生活 - 魏如萱 ... ✅ (deezer, 40783B)
[24] 海王星 - 郑宜农 ... ✅ (netease, 53594B)
[25] 泡泡 - 魏如萱 ... ✅ (deezer, 56912B)
[26] 单身逃亡 - 郑智化 ... ✅ (netease, 24358B)
[27] 9522 - 安溥 ... ✅ (deezer, 62564B)
[28] Souvlaki - Slowdive ... ✅ (itunes, 88196B)
[29] 时空乐界 - 张雨生 ... ✅ (netease, 35193B)
[30] 苹果上的豹 - Lay Lady Lay ... ✅ (itunes, 121792B)
[31] Blood At Ease - Blood At Ease ... ✅ (itunes, 116408B)
[32] U - underscores ... ✅ (itunes, 80984B)
[33] Picture Day - The Fencesitters ... ✅ (deezer, 44734B)
[34] It's the Long Goodbye - The Twilight Sad ... ✅ (itunes, 117783B)
[35] Creature of Habit - Courtney Barnett ... ✅ (itunes, 108749B)
[36] Crime Of The Century - Supertramp ... ✅ (itunes, 87560B)
[37] Rubber Soul - The Beatles ... ✅ (itunes, 138358B)
[38] Revolver - The Beatles ... ✅ (itunes, 185480B)
[39] 宇宙 日本 世田谷 - Fishmans ... ✅ (itunes, 261671B)
[40] 浮躁 - 王菲 ... ✅ (deezer, 27024B)
[41] 我去两千年 - 朴树 ... ✅ (netease, 100837B)
[42] Close To The Edge - Yes ... ✅ (itunes, 104298B)
[43] 之乎者也 - 罗大佑 ... ✅ (deezer, 47444B)
[44] 孤独的人是可耻的 - 张楚 ... ✅ (netease, 490576B)
[45] Discovery - Daft Punk ... ✅ (itunes, 61113B)
[46] 爱如少年 - 许巍 ... ✅ (netease, 30946B)
[47] 第三只眼 - 郑钧 ... ✅ (netease, 284686B)
[48] Red - King Crimson ... ✅ (itunes, 54107B)
[49] In Rainbows - Radiohead ... ✅ (itunes, 180942B)
[50] 超载 - 超载 ... ✅ (itunes, 75549B)

💾 数据库已保存
📊 结果: ✅ 49 成功 / ❌ 1 失败 / 📋 50 总计

