🔍 找到 50 张需要封面的专辑（offset=0, count=50）

[01] 飞出迷楼 - 苏紫旭&The Paramecia ... ❌ 所有源均未找到
[02] Imagine - John Lennon ... ✅ (itunes, 121776B)
[03] 他在时间门外 - 哪吒 ... ✅ (netease, 388640B)
[04] Sicalyptico - Rita Calypso ... ✅ (itunes, 98405B)
[05] 未来的主人翁 - 罗大佑 ... ✅ (deezer, 74726B)
[06] Arrival - ABBA ... ✅ (itunes, 102812B)
[07] 寂寞星空见歌 - 李健 ... ✅ (netease, 46212B)
[08] 造飞机的工厂 - 张楚 ... ✅ (netease, 247631B)
[09] 生命是一次奇遇 - 高旗&超载 ... ✅ (netease, 610035B)
[10] 带我去月球 - 张雨生 ... ✅ (netease, 448237B)
[11] Crisis? What Crisis? - Supertramp ... ✅ (itunes, 176330B)
[12] 青春正传 - 水木年华 ... ✅ (netease, 316585B)
[13] Thriller - Michael Jackson ... ✅ (itunes, 89427B)
[14] Even In The Quietest Moments - Supertramp ... ✅ (itunes, 137666B)
[15] 我爱台湾 - 左小祖咒 ... ✅ (netease, 18539B)
[16] Holy Smoke - Peter Murphy ... ✅ (itunes, 128940B)
[17] Plastic Ono Band - John Lennon ... ✅ (deezer, 72786B)
[18] 马拉美的星期二 - 吴青峰 ... ✅ (netease, 45124B)
[19] To Pimp a Butterfly - Kendrick Lamar ... ✅ (itunes, 120551B)
[20] Low - David Bowie ... ✅ (itunes, 113858B)
[21] 夜郎溪 - 王齐铭 ... ✅ (deezer, 47551B)
[22] Wish - The Cure ... ✅ (itunes, 117267B)
[23] 将爱 - 王菲 ... ✅ (netease, 46107B)
[24] Document - R.E.M. ... ✅ (itunes, 138574B)
[25] 3 - Carsick Cars ... ✅ (itunes, 67339B)
[26] Pluto - 郑宜农 ... ✅ (deezer, 33251B)
[27] 惊喜 - Beyond ... ✅ (itunes, 131837B)
[28] 西湖波底月 - 深山 ... ✅ (netease, 17738B)
[29] 时间的歌 - 陈绮贞 ... ✅ (netease, 31508B)
[30] 差不多先生 - MC HotDog ... ✅ (deezer, 78750B)
[31] loveless - my bloody valentine ... ✅ (itunes, 70117B)
[32] Dragon New Warm Mountain I Believe in you - Big Thief ... ✅ (itunes, 37992B)
[33] Master of Puppets - Metallica ... ✅ (itunes, 119488B)
[34] The Mantle - Agalloch ... ✅ (itunes, 84356B)
[35] My Life Will - 张悬 ... ✅ (deezer, 37373B)
[36] T.N.T. - AC/DC ... ✅ (itunes, 71299B)
[37] 美丽岛 - 罗大佑 ... ✅ (netease, 593835B)
[38] 北方的北方 - 万晓利 ... ✅ (deezer, 29195B)
[39] 向前走 - 林强 ... ✅ (netease, 515042B)
[40] 喀什科尔胡杨 - 刀郎 ... ❌ 所有源均未找到
[41] 刀郎III - 刀郎 ... ❌ 所有源均未找到
[42] Tempo of the Damned - Exodus ... ✅ (itunes, 128739B)
[43] Metal - Annihilator ... ✅ (itunes, 199685B)
[44] Young Fresh Chin II - 夏之禹 ... ✅ (deezer, 76318B)
[45] 时光漫步 - 许巍 ... ✅ (netease, 41621B)
[46] Murmur - R.E.M. ... ✅ (itunes, 148995B)
[47] Hunky Dory - David Bowie ... ✅ (itunes, 140705B)
[48] 比天空还远 - 曹方 ... ✅ (netease, 218308B)
[49] 华丽的冒险 - 陈绮贞 ... ✅ (netease, 588354B)
[50] 爱情多恼河 - 熊天平 ... ✅ (netease, 348795B)

💾 数据库已保存
📊 结果: ✅ 47 成功 / ❌ 3 失败 / 📋 50 总计
