🔍 找到 50 张需要封面的专辑（offset=0, count=50）

[01] 盖亚 - 林忆莲 ... ✅ (deezer, 38689B)
[02] Pornography - The Cure ... ✅ (itunes, 42598B)
[03] Teens of Denial - Car Seat Headrest ... ✅ (itunes, 66174B)
[04] The Head on the Door - The Cure ... ✅ (itunes, 78134B)
[05] Illmatic - Nas ... ✅ (itunes, 107752B)
[06] 水逆 - 郑宜农 ... ✅ (deezer, 41561B)
[07] 冬霾 - 葬尸湖 ... ✅ (netease, 7185B)
[08] 我想你会变成这样都是我害的 - Tizzy Bac ... ✅ (itunes, 123459B)
[09] 飞出迷楼 - 苏紫旭&The Paramecia ... ❌ 所有源均未找到
[10] The Visitors - ABBA ... ✅ (itunes, 106927B)
[11] 未来的街头 - 黄舒骏 ... ✅ (netease, 36519B)
[12] Heaven Or Las Vegas - Cocteau Twins ... ✅ (itunes, 59639B)
[13] Diaries - Chestnut Bakery ... ✅ (itunes, 51630B)
[14] Storm of the Light's Bane  - Dissection ... ✅ (itunes, 131253B)
[15] Siamese Dream - The Smashing Pumpkins ... ✅ (itunes, 120654B)
[16] Ants From Up There - Black Country,New Road ... ✅ (itunes, 112753B)
[17] 末路狂花 - 魏如萱 ... ✅ (deezer, 103674B)
[18] Bright Future - Adrianne Lenker ... ✅ (itunes, 70986B)
[19] 还是要相信爱情啊混蛋们 - 魏如萱 ... ✅ (netease, 11680B)
[20] 在哪里 - 魏如萱 ... ✅ (deezer, 43797B)
[21] Hasta la raíz - Natalia Lafourcade ... ✅ (itunes, 47305B)
[22] 红楼梦 - 陈力 ... ✅ (deezer, 95495B)
[23] 神的游戏 - 张悬 ... ✅ (netease, 154245B)
[24] 泪水与共 - 苏紫旭&The Paramecia ... ✅ (netease, 328425B)
[25] Ride The Lightning - Metallica ... ✅ (itunes, 95896B)
[26] Nevermind - Nirvana ... ✅ (deezer, 56214B)
[27] Bloodflower - The Cure ... ✅ (itunes, 96974B)
[28] 这一切没有想象的那么糟 - 万晓利 ... ✅ (netease, 643787B)
[29] 谁都看见了希望 - 李杰 ... ✅ (itunes, 79567B)
[30] Wintersun - Wintersun ... ✅ (itunes, 163150B)
[31] 口 - Carsick Cars ... ✅ (itunes, 133183B)
[32] 阿密特 - 张惠妹 ... ✅ (netease, 115973B)
[33] 城市 - 张悬 ... ✅ (deezer, 52583B)
[34] 乐上莲花 - 李杰 ... ✅ (netease, 152491B)
[35] 忘忧湖 - 深山 ... ✅ (netease, 16337B)
[36] 幻象波普星 - 刺猬 ... ✅ (deezer, 35170B)
[37] Filosofem - Burzum ... ✅ (itunes, 139094B)
[38] Songs - Adrianne Lenker ... ✅ (itunes, 172279B)
[39] 悲秋之赋 - 葬尸湖 ... ✅ (netease, 13662B)
[40] 给天王星 - 郑宜农 ... ✅ (netease, 24451B)
[41] The Cure - The Cure ... ✅ (itunes, 125599B)
[42] Carsick Cars - Carsick Cars ... ✅ (itunes, 135305B)
[43] 成长小说 - 海朋森 ... ✅ (netease, 27809B)
[44] 月下世界 - 天鹅与花朵 ... ✅ (itunes, 124373B)
[45] Daydream Nation - Sonic Youth ... ✅ (itunes, 111097B)
[46] Long Season - Fishmans ... ✅ (itunes, 196899B)
[47] 生如夏花 - 朴树 ... ✅ (deezer, 47380B)
[48] 菊花夜行军 - 交工乐队 ... ✅ (netease, 154933B)
[49] 那些你们喜欢的不喜欢的我都喜欢的女孩 - 王啸坤 ... ✅ (netease, 37867B)
[50] 音乐会 - 超级市场 ... ✅ (deezer, 19814B)

💾 数据库已保存
📊 结果: ✅ 49 成功 / ❌ 1 失败 / 📋 50 总计
